Id,SalePrice
1461,124261.96898818704
1462,152912.35984544936
1463,176270.8806470888
1464,187832.60926982918
1465,194277.32873182656
1466,169022.6449414211
1467,174148.5239969679
1468,160419.02006361136
1469,179787.22610519035
1470,126540.26699220568
1471,180070.62461335215
1472,106743.03381958591
1473,104782.95171498678
1474,144941.71849146174
1475,114604.37365472323
1476,306833.9851402973
1477,233640.77734832294
1478,272757.75208341476
1479,271099.846347222
1480,396397.27614478685
1481,280450.8845479181
1482,204032.5936779582
1483,174372.29203300425
1484,159353.46996698156
1485,192613.47760149563
1486,186760.89500804772
1487,292209.89009452565
1488,216911.72336442122
1489,187301.7633876444
1490,233136.5764594684
1491,190435.7492292475
1492,104494.23211211515
1493,172340.70057475273
1494,277439.31442437094
1495,260124.397023212
1496,222624.12542345785
1497,172266.44476798715
1498,179633.08783953395
1499,163841.69735390085
1500,158784.40164335934
1501,174763.29836301447
1502,146026.61164990612
1503,259097.6003002653
1504,225369.70511156923
1505,216600.28047252478
1506,181691.02845680754
1507,224996.37615489913
1508,188664.63489562762
1509,160430.85691125016
1510,148272.9993673341
1511,164952.71216371763
1512,172463.08132754665
1513,149995.69040732883
1514,159379.27900806075
1515,192374.11404429763
1516,154795.5338210053
1517,157605.39578650947
1518,133956.85790368228
1519,194602.07006075454
1520,131785.48189506077
1521,136373.01857881565
1522,181282.95332118258
1523,117794.082534389
1524,132828.87562373863
1525,127280.57580328187
1526,119330.36124083289
1527,116298.19158149113
1528,137771.15057509218
1529,155532.9879209464
1530,178904.9870961342
1531,117209.94158553968
1532,107234.39464203556
1533,148488.60649211405
1534,133162.5482392316
1535,149841.89938417127
1536,111685.22829885122
1537,69306.42018853228
1538,143459.34883424066
1539,190275.0832407244
1540,98884.32293768133
1541,143946.40676187066
1542,150593.2886575216
1543,175110.03668174017
1544,102785.26068152924
1545,124875.55863924311
1546,147712.9880631952
1547,143483.95088760753
1548,145998.09512246467
1549,132657.42107308324
1550,145009.4792125498
1551,115227.60777397489
1552,144384.09954239172
1553,147089.84542388486
1554,120981.16005265217
1555,162920.73036306372
1556,98519.92850812692
1557,119584.28056339877
1558,113672.40029803268
1559,71147.31578854393
1560,144199.3810215685
1561,123636.6455388271
1562,133958.63008768504
1563,125375.07985452085
1564,162310.66021943366
1565,152946.08452180185
1566,217611.8073685562
1567,89301.77635202488
1568,228500.81912082876
1569,132401.4762035814
1570,138126.07393316508
1571,121383.98382398383
1572,140586.27591655363
1573,200040.73071694782
1574,125365.39551574951
1575,210149.21112521863
1576,225865.69505243833
1577,174675.0100698543
1578,147844.60310962136
1579,152430.3325186085
1580,187614.47149260444
1581,156923.93697469047
1582,132624.88699348347
1583,257362.81198079442
1584,207211.3773209482
1585,143077.63725707107
1586,80488.91528923708
1587,121846.6833627383
1588,146399.84615403262
1589,111515.13643301012
1590,136561.54842681298
1591,101777.86226490454
1592,127934.09541415889
1593,135871.17084458296
1594,134767.27950150016
1595,113246.87837164316
1596,207532.14137954352
1597,194108.64899179555
1598,218899.0774484232
1599,162299.5604110405
1600,159887.43173154272
1601,76426.01298656242
1602,122830.75222534334
1603,83263.60855483043
1604,240064.58562398874
1605,216433.7287692136
1606,166789.58695372677
1607,174740.86933909863
1608,207426.063425971
1609,175477.95811190564
1610,156564.86635841546
1611,140848.48713190525
1612,168533.16994571825
1613,163129.99688358483
1614,125377.95393932887
1615,100394.62965222448
1616,89082.12732698384
1617,100966.73817299875
1618,138740.25596649313
1619,142299.13386432597
1620,141860.48828185376
1621,142387.52425846143
1622,145592.84585652195
1623,230999.7760412226
1624,200480.24819076408
1625,122747.3388644102
1626,170644.97693758894
1627,185681.40442001802
1628,241781.39059103807
1629,178640.74266077916
1630,314090.0104301964
1631,229148.99321475576
1632,235990.8730651715
1633,174132.23556305963
1634,178001.10908232388
1635,174164.08419192303
1636,152826.15032872846
1637,199064.0113989992
1638,178705.65356462257
1639,183597.13204219105
1640,226806.91502841638
1641,177064.85599173963
1642,233376.15507517988
